epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,302.965,0.6783,0.46651,0.94195,0.49542,0.45635,0.39553,0.19807,1.94982,3.71459,1.94748,0.00050005,0.00050005,0.00050005
103,305.526,0.68547,0.46917,0.92558,0.42478,0.45913,0.40264,0.19946,1.94289,3.78009,1.96942,0.0004951,0.0004951,0.0004951
104,308.162,0.65713,0.49769,0.96743,0.57039,0.40217,0.37941,0.19085,1.8995,4.1164,1.96098,0.00049015,0.00049015,0.00049015
105,310.806,0.63104,0.47562,0.9404,0.56153,0.56243,0.38439,0.1789,1.90574,4.10281,1.99466,0.0004852,0.0004852,0.0004852
106,313.392,0.57336,0.42628,0.89744,0.51229,0.46613,0.37239,0.17645,1.89444,3.89245,2.01206,0.00048025,0.00048025,0.00048025
107,315.928,0.6153,0.47558,0.92139,0.58231,0.46599,0.35744,0.16597,1.87204,3.69791,1.96989,0.0004753,0.0004753,0.0004753
108,318.673,0.72913,0.45976,1.01456,0.6749,0.44142,0.37713,0.19048,1.94375,3.64114,2.03407,0.00047035,0.00047035,0.00047035
109,321.406,0.62563,0.46952,0.95978,0.65822,0.52341,0.41496,0.20714,1.98697,3.45054,2.13926,0.0004654,0.0004654,0.0004654
110,324.008,0.61736,0.43352,0.94254,0.68845,0.51355,0.52327,0.26059,2.02376,3.25015,2.15913,0.00046045,0.00046045,0.00046045
111,326.559,0.6504,0.4693,0.96838,0.68608,0.51229,0.60262,0.29413,2.00418,3.19913,2.13298,0.0004555,0.0004555,0.0004555
112,329.347,0.57146,0.42065,0.90558,0.75834,0.47602,0.53052,0.24276,2.08014,3.14906,2.25202,0.00045055,0.00045055,0.00045055
113,332.222,0.6292,0.44537,0.93652,0.56459,0.59785,0.52005,0.23459,2.05816,3.30916,2.18997,0.0004456,0.0004456,0.0004456
114,334.902,0.61154,0.44517,0.91933,0.53948,0.5566,0.44345,0.18256,2.10159,3.52197,2.19461,0.00044065,0.00044065,0.00044065
115,337.579,0.57673,0.41117,0.91147,0.5579,0.44246,0.39053,0.18653,2.0542,3.99179,2.06216,0.0004357,0.0004357,0.0004357
116,340.175,0.62264,0.44509,0.90403,0.5361,0.44091,0.37257,0.17776,2.02357,4.11365,2.0161,0.00043075,0.00043075,0.00043075
117,342.762,0.58032,0.41288,0.91312,0.56391,0.49828,0.46783,0.21456,2.0277,4.17388,2.02797,0.0004258,0.0004258,0.0004258
118,345.352,0.59368,0.4782,0.92599,0.53137,0.4618,0.42582,0.21368,2.04436,4.00047,2.12145,0.00042085,0.00042085,0.00042085
119,349.635,0.5604,0.38806,0.89859,0.6148,0.51573,0.46346,0.22364,1.93306,3.95797,2.07787,0.0004159,0.0004159,0.0004159
120,355.102,0.58263,0.40454,0.9147,0.55869,0.54401,0.53203,0.24964,1.96941,4.04577,2.12368,0.00041095,0.00041095,0.00041095
121,357.722,0.56788,0.4086,0.89927,0.53166,0.53261,0.54411,0.24933,1.95948,3.97695,2.1151,0.000406,0.000406,0.000406
122,360.212,0.55236,0.4065,0.88662,0.62848,0.44013,0.57034,0.29527,1.86986,4.01382,1.9518,0.00040105,0.00040105,0.00040105
123,362.753,0.60445,0.43271,0.88969,0.66797,0.43865,0.56764,0.29384,1.86553,3.80022,1.9292,0.0003961,0.0003961,0.0003961
124,365.238,0.62347,0.4453,0.92261,0.55874,0.54476,0.51863,0.25252,1.89963,3.78337,1.94606,0.00039115,0.00039115,0.00039115
